id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1391903259141545987,1391903046662242312,2021-05-10 18:49:31 Hora de verano central (México),2021-05-10,18:49:31,-0500,1269773684518146052,jeremy_hume,Jeremy Hume,,"@TYAnalysis @VoiceOfEU The so-called new normal, in which Boris J dictates how many humans you can peacefully interact with, is dystopian. Am I the only one who is genuinely more worried about government overreach than COVID-19 (a disease with a 99.5%+ recovery rate)? [Source: Oxford CEBM]",en,[],[],[],0,1,1,[],[],https://twitter.com/jeremy_hume/status/1391903259141545987,False,,0,,,,,,,,"[{'screen_name': 'TYAnalysis', 'name': 'The Yorkshire Analysis', 'id': '1302317190079754241'}, {'screen_name': 'VoiceOfEU', 'name': 'The Voice of EU 🇪🇺', 'id': '1390028186952605698'}]",,,,
1391903257182687233,1391903257182687233,2021-05-10 18:49:31 Hora de verano central (México),2021-05-10,18:49:31,-0500,17454666,sdajd4,Aj4🇺🇸🏳️‍🌈,,COVID-19 and the fear-mongering five-percenters | Opinion  https://t.co/bKyQdcf9vg,en,[],['https://www.newsweek.com/covid-19-fear-mongering-five-percenters-opinion-1589345'],[],0,0,0,[],[],https://twitter.com/SDajd4/status/1391903257182687233,False,,0,,,,,,,,[],,,,
1391903256708853762,1391903256708853762,2021-05-10 18:49:31 Hora de verano central (México),2021-05-10,18:49:31,-0500,1223742955732774919,gh72190914,"LoVe, Bible, pray and skip the show",,This is a pathogen problem not a stress problem…The weirdest sign of COVID-19 fatigue? More Americans are grinding their teeth - MarketWatch  https://t.co/REaD9TMcLz,en,[],['https://www.marketwatch.com/story/covid-stress-is-causing-an-epidemic-of-jaw-muscle-pain-across-the-u-s-dentists-say-11605643391'],[],0,0,0,[],[],https://twitter.com/Gh72190914/status/1391903256708853762,False,,0,,,,,,,,[],,,,
1391903254745739268,1391903254745739268,2021-05-10 18:49:30 Hora de verano central (México),2021-05-10,18:49:30,-0500,531202184,thainewsreports,Thai News Reports,,Bangkok Post Infographic: Number of adults aged 60 and over and those suffering congenital illnesses who have secured vaccination appointments nationwide #COVID19 #โควิด19 #โควิดวันนี้ #Thailand  https://t.co/uIEmfLf0Xf,en,[],[],['https://pbs.twimg.com/media/E1EIoChUUAU-B7W.jpg'],2,1,8,"['covid19', 'โควิด19', 'โควิดวันนี้', 'thailand']",[],https://twitter.com/ThaiNewsReports/status/1391903254745739268,False,,1,https://pbs.twimg.com/media/E1EIoChUUAU-B7W.jpg,,,,,,,[],,,,
1391903251809849347,1391903251809849347,2021-05-10 18:49:30 Hora de verano central (México),2021-05-10,18:49:30,-0500,1256579843711434754,nica_rojaynegra,La Sandinista (Mayita) 💛,,"No es la mejor foto, pero si es importante recordarles que sigamos usando mascarilla 😷  Nosotros tenemos que seguir vivos para ver cómo la Patria Grande se vuelve más fuerte y valiente.  Nosotros Venceremos a la derecha fascista ✊ y al COVID19 🙏  https://t.co/5Kdzce5uul",es,[],[],['https://pbs.twimg.com/media/E1EIoJhXEAIr9hd.jpg'],10,29,108,[],[],https://twitter.com/nica_rojaynegra/status/1391903251809849347,False,,1,https://pbs.twimg.com/media/E1EIoJhXEAIr9hd.jpg,,,,,,,[],,,,
1391903251583299586,1391901380164526084,2021-05-10 18:49:30 Hora de verano central (México),2021-05-10,18:49:30,-0500,1306786837,barnard_em,Emma Barnard,,"3/3  The Catholic Health Association of India: responding to COVID-19 across 3500 health facilities across in India. Through the Mary Glowrey Training Initiative, the University of Melbourne is helping increase CHAI’s capacity to respond to COVID-19.  https://t.co/l0OmjhyODH",en,[],['https://mspgh.unimelb.edu.au/engage/community/sister-dr-mary-glowrey-scholars-program'],[],0,0,0,[],[],https://twitter.com/barnard_em/status/1391903251583299586,False,,0,,,,,,,,[],,,,
1391903249108803586,1391892218777153538,2021-05-10 18:49:29 Hora de verano central (México),2021-05-10,18:49:29,-0500,1259150530326286340,rfelixpv,Ramon Felixpv,,@ABCDigital Entonces si eliminamos el covid-19 guau el solar va ser paridad con el guaraní pio... Ni saben porque sube el dolar,es,[],[],[],0,0,0,[],[],https://twitter.com/RFelixpv/status/1391903249108803586,False,,0,,,,,,,,"[{'screen_name': 'ABCDigital', 'name': 'ABC Digital', 'id': '28191953'}]",,,,
1391903245971251205,1391901380164526084,2021-05-10 18:49:28 Hora de verano central (México),2021-05-10,18:49:28,-0500,1306786837,barnard_em,Emma Barnard,,"1/3  CMC Vellore: upsizing to 1500 COVID-19 beds. They have written to us outlining their extensive needs including equipment, PPE and patient support.  https://t.co/kgjjJAKpVV",en,[],['https://givecmcv.org/donate/'],[],1,0,0,[],[],https://twitter.com/barnard_em/status/1391903245971251205,False,,0,,,,,,,,[],,,,
1391903240229433357,1391477770061025288,2021-05-10 18:49:27 Hora de verano central (México),2021-05-10,18:49:27,-0500,1264702592959086594,vict_bat,Victor Batista,,@DanteRivasQ Muy justa estas desinfecciones debemos erradicar el covid19,es,[],[],[],0,0,0,[],[],https://twitter.com/vict_bat/status/1391903240229433357,False,,0,,,,,,,,"[{'screen_name': 'DanteRivasQ', 'name': 'Dante Rivas', 'id': '133373873'}]",,,,
1391903235284291587,1391903235284291587,2021-05-10 18:49:26 Hora de verano central (México),2021-05-10,18:49:26,-0500,4466802973,mtvernonh,MtVernon UMC Houston,,#Mtvernonhouston @HoustonHealth #COVID19,und,"[{'screen_name': 'houstonhealth', 'name': 'houston health dept', 'id': '37303117'}]",[],[],0,0,2,"['mtvernonhouston', 'covid19']",[],https://twitter.com/MtvernonH/status/1391903235284291587,False,https://twitter.com/HoustonHealth/status/1391797871972954117,0,,,,,,,,[],,,,
